Type,Description,Type_encoded,requirement_length,requirement_length_scaled
F,The leads washing functionality will verify the users authentication and rights to make parameter updates.,1,106,-0.17253364196061857
F,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,1,107,-0.155982795699386
F,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,1,128,0.19158497578649764
F,The leads washing functionality shall receive a period list of available reps from the enterprise system.,1,105,-0.18908448822185112
LF,The product shall simulate the look of ships at sea.,4,52,-1.0662793400671766
LF,The product shall display the grids within a circle as a view from a periscope.,4,79,-0.6194064910138976
LF,The product shall display each type of ship in a grid using an image of the specific type of ship.,4,98,-0.304940412050479
LF,When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,4,94,-0.37114379709540923
LF,When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,4,99,-0.28838956578924646
LF,When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,4,98,-0.304940412050479
LF,When a ship is sunk  the product shall simulate the sound of a sinking ship.,4,76,-0.6690590297975952
A,The product shall be available 24 hours per day  seven days per week.,0,69,-0.7849149536262231
PE,The product shall able to handle a large number of games simultaneously.,7,72,-0.7352624148425254
PE,The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,7,193,1.2673899827666137
PE,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,7,163,0.7708645949296371
US,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,11,136,0.3239917458763581
US,The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,11,170,0.886720518758265
SE,The product shall provide players no access to information that might reveal the identity of another player,10,107,-0.155982795699386
PE,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,7,192,1.2508391365053813
F,The product shall maintain a list of players.,1,45,-1.1821352638958045
F,The product shall allow a user to identify himself or herself as a player.,1,74,-0.7021607223200603
F,Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,1,139,0.3736442846600558
F,The product shall allow a user to remove himself or herself from the list of players at any time.,1,97,-0.32149125831171155
F,The product shall make inactive players unavailable for selection from the list of players.,1,91,-0.4207963358791069
F,The product shall remove players who have been inactive for 24 hours from the list of players.,1,94,-0.37114379709540923
F,The product shall allow a player to initiate a game by selecting another available player from the list of players.,1,115,-0.02357602560952557
F,Once a game is initiated  the product shall display a defensive grid to each player,1,83,-0.5532031059689674
F,Once a game is initiated  the product shall display an offensive grid to each player.,1,85,-0.5201014134465022
F,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,1,101,-0.2552878732667813
F,Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,1,124,0.12538159074156743
F,The product shall allow a player to position ships horizontally on their grid.,1,78,-0.6359573372751302
F,The product shall allow the player to position ships vertically on their grid.,1,78,-0.6359573372751302
F,The product shall allow the player to position ships diagonally on their grid,1,77,-0.6525081835363626
F,The product shall prevent the player from overlapping ships on their grid.,1,74,-0.7021607223200603
F,When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,1,144,0.45639851596621855
F,For each turn  the product shall identify one player as offensive status and one player as defensive status.,1,108,-0.13943194943815346
F,The product shall maintain the status of each player for a turn  either offensive or defensive.,1,95,-0.3545929508341767
F,At the start of each turn  the product shall notify each player of his or her status.,1,85,-0.5201014134465022
F,For each turn  the product shall allow the offensive player to define a shot.,1,77,-0.6525081835363626
F,For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,1,132,0.25778836083142787
F,For each shot  the product shall notify the players whether the shot was a hit or miss.,1,87,-0.4869997209240371
F,For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,1,110,-0.10633025691568834
F,For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,1,110,-0.10633025691568834
F,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,1,100,-0.2718387195280139
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,1,126,0.15848328326403255
F,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,1,135,0.30744089961512555
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,1,126,0.15848328326403255
F,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,1,95,-0.3545929508341767
F,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,1,106,-0.17253364196061857
F,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,1,106,-0.17253364196061857
F,The product shall continue to assign turns until the game is ended.,1,67,-0.8180166461486882
F,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player�s ships  which had not been previously marked as sunk.,1,170,0.886720518758265
F,The product shall allow a player to end a game at any time during the game.,1,75,-0.6856098760588277
F,When a game is ended  the product shall notify the players that the game is ended.,1,82,-0.5697539522301999
F,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,1,143,0.43984766970498596
F,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,1,135,0.30744089961512555
F,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,1,112,-0.07322856439322324
US,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,11,144,0.45639851596621855
US,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,11,138,0.3570934383988232
PE,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,7,112,-0.07322856439322324
PE,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,7,123,0.10883074448033488
A,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,0,147,0.5060510547499162
A,The system must be available for use between 7:00AM and 11:59PM all days of the year.,0,85,-0.5201014134465022
MN,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,5,118,0.026076513174172096
SE,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,10,168,0.8536188262357999
SE,The product shall ensure that only supervisors can enter a caller�s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,10,167,0.8370679799745673
SE,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,10,170,0.886720518758265
LF,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,4,151,0.5722544397948465
LF,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,4,164,0.7874154411908696
LF,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,4,198,1.3501442140727764
LF,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,4,169,0.8701696724970324
US,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,11,139,0.3736442846600558
US,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,11,154,0.621906978578544
US,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),11,166,0.8205171337133348
PE,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,7,169,0.8701696724970324
PE,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,7,181,1.068779827631823
PE,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,7,121,0.07572905195786976
PE,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,7,142,0.4232968234437534
A,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,0,215,1.63150860051373
FT,The product shall be robust.The product shall have fault avoidance based on standards adoption.,2,95,-0.3545929508341767
FT,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,2,169,0.8701696724970324
SC,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,9,123,0.10883074448033488
O,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,6,126,0.15848328326403255
O,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,6,174,0.9529239038031951
MN,The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,5,197,1.333593367811544
MN,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,5,170,0.886720518758265
MN,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,5,134,0.29089005335389295
SE,The product shall have security.The product shall provide authentication  and authorization.,10,92,-0.4042454896178743
SE,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,10,122,0.09227989821910232
SE,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,10,145,0.4729493622274511
LF,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,4,107,-0.155982795699386
LF,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,4,156,0.6550086711010092
LF,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,4,133,0.2743392070926604
LF,The interface must summarize the data in a fashion that�s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,4,187,1.1680849051992184
US,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,11,169,0.8701696724970324
US,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,11,191,1.2342882902441485
US,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),11,149,0.5391527472723813
US,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,11,180,1.0522289813705905
US,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),11,190,1.217737443982916
US,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,11,194,1.2839408290278462
A,The WCS system shall be available at all times as long as IBM�s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM�s internal intranet W3 is available.,0,189,1.2011865977216836
SC,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,9,117,0.00952566691293954
SC,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,9,176,0.9860255963256603
O,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,6,178,1.0191272888481253
MN,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,5,210,1.5487543692075671
MN,All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,5,171,0.9032713650194976
SE,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,10,168,0.8536188262357999
SE,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user�s computer.,10,155,0.6384578248397766
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner�s page,10,116,-0.0070251793482930145
SE,The Commissioner will be the only authorized user per league to adjust league settings.,10,87,-0.4869997209240371
LF,Each page shall contain a navigation menu which shows the index into which the current page is contained.,4,105,-0.18908448822185112
LF,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,4,122,0.09227989821910232
LF,The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,4,160,0.7212120561459394
US,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,11,119,0.04262735943540465
US,Users shall be able to reach the �add�  �drop�  and �trade player� pages with one click from the team owner�s page.,11,115,-0.02357602560952557
US,Users shall be able to view at least 25 NFL player statistics and points on each page.,11,86,-0.5035505671852697
US,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,11,113,-0.05667771813199068
PE,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,7,137,0.34054259213759064
A,The application shall have a downtime of at most 10 minutes per year.,0,69,-0.7849149536262231
O,The application shall run on a web application server.,6,54,-1.0331776475447114
PE,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,7,135,0.30744089961512555
PE,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,7,118,0.026076513174172096
O,The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday � Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,6,189,1.2011865977216836
O,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,6,218,1.6811611392974277
O,A primary database will be used to store cached data for active users.,6,70,-0.7683641073649905
A,The system shall achieve 95% up time.,0,37,-1.3145420339856648
LF,The system shall have a professional appearance,4,47,-1.1490335713733393
LF,The product shall have a consistent color scheme and fonts.,4,59,-0.9504234162385486
US,The system shall be used by realtors with no training.,11,54,-1.0331776475447114
US,The system shall be intuitive and self explanatory.,11,51,-1.082830186328409
US,The product shall be easy for a realtor to learn.,11,49,-1.1159318788508743
US,The product shall use symbols and words that are naturally understandable by the realtor community.,11,99,-0.28838956578924646
PE,The product shall produce search results in an acceptable time,7,62,-0.900770877454851
PE,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,7,109,-0.1228811031769209
PE,The product shall generate a CMA report in an acceptable time.,7,62,-0.900770877454851
PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,7,104,-0.2056353344830837
PE,The product shall synchronize contacts and appointments in an acceptable time.,7,78,-0.6359573372751302
PE,The product shall synchronize with the office system every hour.,7,64,-0.8676691849323859
A,The product shall be available for use 24 hours per day  365 days  per year,0,75,-0.6856098760588277
A,Out of 1000 accesses to the system  the system is available 999 times.,0,70,-0.7683641073649905
FT,The product shall operate in offline mode whenever internet connection is unavailable.,2,86,-0.5035505671852697
FT,The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,2,109,-0.1228811031769209
FT,The product shall retain user preferences in the event of a failure.,2,68,-0.8014657998874557
FT,100% of saved user preferences shall be restored when system comes back online.,2,79,-0.6194064910138976
SC,The product shall be able to support multiple remote users,9,58,-0.9669742624997812
SC,The product shall be able support 1000 simultaneous users.,9,58,-0.9669742624997812
SC,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,9,127,0.1750341295252651
US,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,11,109,-0.1228811031769209
US,90% of untrained realtors shall be able to install the product on their device without printed instructions,11,107,-0.155982795699386
PO,The product is expected to run on Windows CE and Palm operating systems.,8,72,-0.7352624148425254
SE,Only registered realtors shall be able to access the system.,10,60,-0.9338725699773162
SE,Every user of the system shall be authenticated and authorized.,10,63,-0.8842200311936185
SE,The product shall prevent its data from incorrect data being introduced.,10,72,-0.7352624148425254
F,The system shall allow a real estate agent to query MLS information,1,67,-0.8180166461486882
F,The user shall be able to get driving directions to a selected property,1,71,-0.751813261103758
F,The user shall be able to download appointments and contact information for clients,1,83,-0.5532031059689674
F,The system shall display clear property images in the search results,1,68,-0.8014657998874557
SC,system shall be able to handle all of the user requests/usage during business hours.,9,84,-0.5366522597077348
SC,The system shall cater to 10 simultaneous users from 9am to 5pm.,9,64,-0.8676691849323859
SC,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,9,107,-0.155982795699386
SC,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,9,125,0.14193243700279998
O,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,6,125,0.14193243700279998
O,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,6,133,0.2743392070926604
O,A secondary database will be used to store historical statistics and data.,6,74,-0.7021607223200603
F,The system shall be able to call the seller or buyer to schedule an appointment,1,79,-0.6194064910138976
F,The realtor shall be notified of new client appointments after automatic synchronization with office system,1,107,-0.155982795699386
F,The realtor shall be able to retrieve a map showing property locations for a specified area,1,91,-0.4207963358791069
F,The system shall notify the realtor when a seller or buyer responds to an appointment request,1,93,-0.3876946433566418
F,The product shall allow the user to save the property search results.,1,69,-0.7849149536262231
US,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,11,84,-0.5366522597077348
US,All of the users shall be able to use the system after one day of training.,11,75,-0.6856098760588277
US,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,11,117,0.00952566691293954
US,The number of mistakes noted by the students shall be decreased by 50% in the first year.,11,89,-0.453898028401572
US,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,11,82,-0.5697539522301999
US,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,11,151,0.5722544397948465
US,The system shall use symbols and words that are naturally understandable by the user community.,11,95,-0.3545929508341767
US,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,11,132,0.25778836083142787
PE,Staff members shall be able to complete a set of tasks in a timely manner.,7,74,-0.7021607223200603
PE,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,7,172,0.91982221128073
A,The system shall be available for use between the hours of 8am and 6pm.,0,71,-0.751813261103758
O,The system shall operate within the Windows XP Professional operating system.,6,77,-0.6525081835363626
O,The system shall interface with CampusConnect�s central server,6,62,-0.900770877454851
O,The system shall interface with the faculty central server.,6,59,-0.9504234162385486
O,The system shall interface with the student master server.,6,58,-0.9669742624997812
O,We must be able to interface with any HTML browser.,6,51,-1.082830186328409
SE,Only authorized users shall have access to clinical site information.,10,69,-0.7849149536262231
SE,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,10,112,-0.07322856439322324
SE,Only authorized users shall have access to students� personal information.,10,74,-0.7021607223200603
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students� personal information.,10,115,-0.02357602560952557
SE,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,10,104,-0.2056353344830837
SE,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,10,179,1.035678135109358
SE,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,10,124,0.12538159074156743
SE,The system shall protect private information in accordance with the organization�s information policy.,10,102,-0.23873702700554877
SE,The system shall be built such that it is as secure as possible from malicious interference.,10,92,-0.4042454896178743
SE,The system shall use the organization�s standard virus protection software to help monitor threats to itself.,10,109,-0.1228811031769209
F,A cohort shall be associated to one Program of Study offered by the department.,1,79,-0.6194064910138976
F,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,1,104,-0.2056353344830837
F,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,1,98,-0.304940412050479
F,Students added to a cohort shall be eligible for the cohort�s Program of Study.,1,79,-0.6194064910138976
F,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,1,127,0.1750341295252651
F,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,1,162,0.7543137486684045
F,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,1,162,0.7543137486684045
F,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,1,106,-0.17253364196061857
MN,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,5,114,-0.04012687187075813
MN,New System version releases shall be released at the beginning of each NFL season.,5,82,-0.5697539522301999
F,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,1,100,-0.2718387195280139
F,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,1,130,0.22468666830896275
F,The system shall allow modification of the display.,1,51,-1.082830186328409
F,The system shall offer a display of all the Events in the exercise.,1,67,-0.8180166461486882
F,The system shall filter data by: Venues and Key Events.,1,55,-1.016626801283479
F,The system shall allow a user to define the time segments,1,57,-0.9835251087610137
F,The system shall display the local and exercise time in separate clocks,1,71,-0.751813261103758
F,The system shall offer the ability to pause and resume the refresh of data.,1,75,-0.6856098760588277
F,The system shall provide charts for the Activity or Event actual versus assumed time.,1,85,-0.5201014134465022
O,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.,6,131,0.24123751457019532
O,98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,6,202,1.4163475991177068
SE,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,10,177,1.0025764425868928
PE,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,7,228,1.8466696019097533
F,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,1,116,-0.0070251793482930145
F,The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,1,204,1.4494492916401718
F,The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,1,179,1.035678135109358
F,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,1,209,1.5322035229463347
